instId,tradeId,Date,Time,Millisec,side,px,sz,lDate,lTime,lMillisec
ETH-USDT,205613494,20220530,153601,581,sell,1901.16,0.05,20220530,153601,588
ETH-USDT,205613495,20220530,153601,581,sell,1901.15,0.105145,20220530,153601,588
ETH-USDT,205613496,20220530,153601,581,sell,1901.14,0.041,20220530,153601,588
ETH-USDT,205613497,20220530,153601,581,sell,1901.11,0.89,20220530,153601,588
ETH-USDT,205613498,20220530,153601,581,sell,1901.09,0.005789,20220530,153601,589
ETH-USDT,205613499,20220530,153601,581,sell,1901.09,0.1,20220530,153601,589
ETH-USDT,205613500,20220530,153601,581,sell,1901.08,1.04,20220530,153601,589
ETH-USDT,205613501,20220530,153601,596,buy,1901,11.6848,20220530,153601,600
ETH-USDT,205613502,20220530,153601,642,sell,1901.53,0.023439,20220530,153601,646
ETH-USDT,205613503,20220530,153602,667,buy,1901.71,0.041,20220530,153602,671
ETH-USDT,205613504,20220530,153602,667,buy,1901.74,1.577,20220530,153602,671
ETH-USDT,205613505,20220530,153602,685,buy,1901.9,0.041,20220530,153602,689
ETH-USDT,205613506,20220530,153602,685,buy,1901.9,0.45311,20220530,153602,689
ETH-USDT,205613507,20220530,153602,700,buy,1901.9,0.547693,20220530,153602,704
ETH-USDT,205613508,20220530,153602,835,buy,1901.94,0.106668,20220530,153602,841
ETH-USDT,205613509,20220530,153607,617,sell,1901.99,2.80364,20220530,153607,621
ETH-USDT,205613510,20220530,153608,777,sell,1901.77,0.24376,20220530,153608,781
ETH-USDT,205613511,20220530,153609,99,sell,1901.77,0.571,20220530,153609,104
ETH-USDT,205613512,20220530,153609,99,sell,1901.77,0.05568,20220530,153609,104
ETH-USDT,205613513,20220530,153609,99,sell,1901.77,0.80956,20220530,153609,104
ETH-USDT,205613514,20220530,153609,99,sell,1901.77,1.55,20220530,153609,104
ETH-USDT,205613515,20220530,153609,99,sell,1901.77,0.803406,20220530,153609,104
ETH-USDT,205613516,20220530,153609,99,sell,1901.77,0.07349,20220530,153609,104
ETH-USDT,205613517,20220530,153609,99,sell,1901.77,2.17265,20220530,153609,104
ETH-USDT,205613518,20220530,153609,99,sell,1901.77,2.6,20220530,153609,104
ETH-USDT,205613519,20220530,153609,99,sell,1901.77,0.4199,20220530,153609,105
ETH-USDT,205613520,20220530,153612,145,buy,1901.79,0.00611,20220530,153612,150
ETH-USDT,205613521,20220530,153612,145,buy,1901.79,6e-06,20220530,153612,150
ETH-USDT,205613522,20220530,153612,146,buy,1902,5,20220530,153612,151
ETH-USDT,205613523,20220530,153612,146,buy,1902,0.641077,20220530,153612,151
ETH-USDT,205613524,20220530,153612,146,buy,1902.02,0.023295,20220530,153612,151
ETH-USDT,205613525,20220530,153612,146,buy,1902.02,0.115,20220530,153612,151
ETH-USDT,205613526,20220530,153612,146,buy,1902.04,0.106667,20220530,153612,151
ETH-USDT,205613527,20220530,153612,146,buy,1902.04,0.029,20220530,153612,151
ETH-USDT,205613528,20220530,153612,159,buy,1902.09,0.041,20220530,153612,163
ETH-USDT,205613529,20220530,153612,159,buy,1902.09,0.26,20220530,153612,163
ETH-USDT,205613530,20220530,153612,159,buy,1902.09,0.099999,20220530,153612,163
ETH-USDT,205613531,20220530,153612,159,buy,1902.1,0.151972,20220530,153612,164
ETH-USDT,205613532,20220530,153612,159,buy,1902.25,0.19984,20220530,153612,164
ETH-USDT,205613533,20220530,153612,159,buy,1902.28,0.041,20220530,153612,164
ETH-USDT,205613534,20220530,153613,892,sell,1902.33,0.206763,20220530,153613,896
ETH-USDT,205613535,20220530,153615,470,sell,1902.33,0.089065,20220530,153615,475
ETH-USDT,205613536,20220530,153621,290,buy,1902.34,0.00754,20220530,153621,297
ETH-USDT,205613537,20220530,153621,461,buy,1902.34,7e-06,20220530,153621,466
ETH-USDT,205613538,20220530,153621,461,buy,1902.47,0.036682,20220530,153621,466
ETH-USDT,205613539,20220530,153622,23,buy,1902.65,0.188451,20220530,153622,28
ETH-USDT,205613540,20220530,153622,760,buy,1902.65,3.12888,20220530,153622,766
ETH-USDT,205613541,20220530,153622,761,buy,1902.65,0.843275,20220530,153622,766
ETH-USDT,205613542,20220530,153622,761,buy,1902.65,0.004252,20220530,153622,767
ETH-USDT,205613543,20220530,153622,770,buy,1902.66,0.041,20220530,153622,776
ETH-USDT,205613544,20220530,153626,422,buy,1902.66,0.00223,20220530,153626,427
ETH-USDT,205613545,20220530,153626,422,buy,1902.71,5.56026,20220530,153626,427
ETH-USDT,205613546,20220530,153626,436,buy,1902.73,0.001097,20220530,153626,441
ETH-USDT,205613547,20220530,153626,448,buy,1902.8,0.05256,20220530,153626,453
ETH-USDT,205613548,20220530,153626,462,buy,1902.8,8e-06,20220530,153626,467
ETH-USDT,205613549,20220530,153626,462,buy,1902.85,0.040992,20220530,153626,467
ETH-USDT,205613550,20220530,153630,907,sell,1902.84,0.5,20220530,153630,916
ETH-USDT,205613551,20220530,153630,907,sell,1902.84,0.02,20220530,153630,916
ETH-USDT,205613552,20220530,153630,907,sell,1902.84,0.001894,20220530,153630,916
ETH-USDT,205613553,20220530,153630,907,sell,1902.84,0.04,20220530,153630,916
ETH-USDT,205613554,20220530,153630,907,sell,1902.84,2.62878,20220530,153630,916
ETH-USDT,205613555,20220530,153630,907,sell,1902.84,0.803213,20220530,153630,917
ETH-USDT,205613556,20220530,153630,907,sell,1902.81,0.209552,20220530,153630,917
ETH-USDT,205613557,20220530,153630,907,sell,1902.81,1.42973,20220530,153630,917
ETH-USDT,205613558,20220530,153630,910,sell,1902.81,0.147265,20220530,153630,930
ETH-USDT,205613559,20220530,153630,910,sell,1902.74,0.657,20220530,153630,930
ETH-USDT,205613560,20220530,153630,910,sell,1902.73,0.001999,20220530,153630,931
ETH-USDT,205613561,20220530,153630,910,sell,1902.66,0.840612,20220530,153630,931
ETH-USDT,205613562,20220530,153630,910,sell,1902.65,1.04,20220530,153630,931
ETH-USDT,205613563,20220530,153630,910,sell,1902.65,0.15,20220530,153630,931
ETH-USDT,205613564,20220530,153630,910,sell,1902.62,0.1,20220530,153630,931
ETH-USDT,205613565,20220530,153630,914,sell,1902.61,0.099994,20220530,153630,931
ETH-USDT,205613566,20220530,153630,914,sell,1902.61,10.2,20220530,153630,931
ETH-USDT,205613567,20220530,153630,914,sell,1902.6,0.16,20220530,153630,931
ETH-USDT,205613568,20220530,153630,914,sell,1902.52,0.07151,20220530,153630,931
ETH-USDT,205613569,20220530,153630,914,sell,1902.49,0.161002,20220530,153630,931
ETH-USDT,205613570,20220530,153630,922,sell,1902.5,0.099994,20220530,153630,932
ETH-USDT,205613571,20220530,153630,922,sell,1902.49,0.200006,20220530,153630,932
ETH-USDT,205613572,20220530,153630,926,sell,1902.49,0.5,20220530,153630,932
ETH-USDT,205613573,20220530,153630,939,sell,1902.49,1.38386,20220530,153630,945
ETH-USDT,205613574,20220530,153630,977,sell,1902.49,0.036997,20220530,153630,983
ETH-USDT,205613575,20220530,153647,53,sell,1902.7,0.1,20220530,153647,56
ETH-USDT,205613576,20220530,153653,713,buy,1902.73,0.001999,20220530,153653,717
